Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie de la Cité,"Rue de l'Amiral Mouchez, 75014 Paris, France",Non renseigné,non,,,0.22860288000825496,"48.821618, 2.3421128",oui
Pharmacie du Parc,"Rue de l'Amiral Mouchez, 75013 Paris, France",+33 1 45 89 10 05,non,,,0.6271933994160896,"48.8260107, 2.3418204",non
Pharmacie Bobillot Montsouris,"Rue Bobillot, 75013 Paris, France",Non renseigné,non,,,0.6740280152199041,"48.8233194, 2.3476282",non
Pharmacie de la Butte aux Cailles,"Rue de Tolbiac, 75013 Paris, France",Non renseigné,non,,,0.7081467722816678,"48.8258619, 2.344849",non
Pharmacie Kellermann,"Boulevard Kellermann, 75013 Paris, France",+33 1 45 88 23 24,non,,,0.808613336102302,"48.8206435, 2.3504445",non
Pharmacie Lor et Leuk,"Rue de la Providence, 75013 Paris, France",Non renseigné,non,,,0.842203626953548,"48.8257885, 2.3477809",non
Pharmacie Jourdan,"Boulevard Jourdan, 75014 Paris, France",Non renseigné,non,,,0.8799645945505824,"48.8225152, 2.3277378",non
Pharmacie Sarrette,"Place des Droits de l'Enfant, 75014 Paris, France",Non renseigné,non,,,0.9316891046230186,"48.8274146, 2.3319952",non
Pharmacie du Théâtre,"Rue de la Glacière, 75013 Paris, France",Non renseigné,non,,,1.0119623061497116,"48.8292031, 2.3439087",non
Pharmacie Chouvin,"Rue du Loing, 75014 Paris, France",Non renseigné,non,,,1.0601167090095018,"48.8277141, 2.3297596",non
Nom inconnu,"Rue Adolphe Focillon, 75014 Paris, France",Non renseigné,non,,,1.0620092362164693,"48.8269224, 2.3285268",non
Pharmacie Principale,"Boulevard Brune, 75014 Paris, France",+33 1 45 42 27 75,non,,,1.0960553103866875,"48.8229405, 2.324857",non
Pharmacie Tran Huu Nghia,"Rue des Cinq Diamants, 75013 Paris, France",+33 1 45 80 76 37,non,,,1.1050423367044637,"48.8279309, 2.3495913",non
Para&Pharmacie du grand Paris,"Avenue du Général Leclerc, 75014 Paris, France",Non renseigné,non,,,1.1149120385752345,"48.8248933, 2.3256377",non
Pharmacie du Village des Peupliers,"Place Jean Delay, 75013 Paris, France",Non renseigné,non,,,1.1279735323688491,"48.8231032, 2.3543307",non
Pharmacie Coty-Issoire,"15 Avenue René Coty, 75014 Paris, France",Non renseigné,non,,,1.1575427456276584,"48.830412, 2.3341178",non
Pharmacie Blanqui,"Rue Le Dantec, 75013 Paris, France",Non renseigné,non,,,1.1658025529109763,"48.829782, 2.347087",non
Pharmacie des Peupliers,"Rue de Tolbiac, 75013 Paris, France",Non renseigné,non,,,1.1769357467762644,"48.8260658, 2.353167",non
Grande Pharmacie Alésia,"79 Avenue du Général Leclerc, 75014 Paris, France",+33 1 43 27 03 39,non,,,1.193895280376591,"48.8277248, 2.3271996",non
Bernard Zerbib,"Boulevard Brune, 75014 Paris, France",Non renseigné,non,,,1.1979251638236046,"48.8234359, 2.3236144",non
Pharmacie du Coin de la Rue,"Rue Rémy Dumoncel, 75014 Paris, France",Non renseigné,non,,,1.2084140254950315,"48.8295474, 2.3300309",non
Pharmacie de la Glacière,"Boulevard Auguste Blanqui, 75013 Paris, France",Non renseigné,non,,,1.2472985974659052,"48.8314371, 2.343798",non
Pharmacie Alesia - Jean Moulin,"Avenue Jean Moulin, 75014 Paris, France",Non renseigné,non,,,1.297020503486457,"48.8269809, 2.3245691",non
Pharmacie Lavaux,"Rue du Moulin-des-Prés, 75013 Paris, France",Non renseigné,non,,,1.3319585242041987,"48.8286085, 2.3529303",non
Pharmacie de l'avenue,"Rue Sophie Germain, 75014 Paris, France",Non renseigné,non,,,1.3468398497950334,"48.8309695, 2.3298918",non
